datetime,machineID,volt,rotate,pressure,vibration
2025-05-23 00:00:00,1,160,1080,100,48
2025-05-23 01:00:00,1,159,1076,99.6,48.4
2025-05-23 02:00:00,1,158,1072,99.2,48.8
2025-05-23 03:00:00,1,157,1068,98.8,49.2
2025-05-23 04:00:00,1,156,1064,98.4,49.6
2025-05-23 05:00:00,1,155,1060,98,50
2025-05-23 06:00:00,1,154,1056,97.6,50.4
2025-05-23 07:00:00,1,153,1052,97.2,50.8
2025-05-23 08:00:00,1,152,1048,96.8,51.2
2025-05-23 09:00:00,1,151,1044,96.4,51.6
2025-05-23 10:00:00,1,150,1040,96,52
2025-05-23 11:00:00,1,149,1036,95.6,52.4
2025-05-23 12:00:00,1,148,1032,95.2,52.8
2025-05-23 13:00:00,1,147,1028,94.8,53.2
2025-05-23 14:00:00,1,146,1024,94.4,53.6
2025-05-23 15:00:00,1,145,1020,94,54
2025-05-23 16:00:00,1,144,1016,93.6,54.4
2025-05-23 17:00:00,1,143,1012,93.2,54.8
2025-05-23 18:00:00,1,142,1008,92.8,55.2
2025-05-23 19:00:00,1,141,1004,92.4,55.6
2025-05-23 20:00:00,1,140,1000,92,56
2025-05-23 21:00:00,1,139,996,91.6,56.4
2025-05-23 22:00:00,1,138,992,91.2,56.8
2025-05-23 23:00:00,1,137,988,90.8,57.2
2025-05-23 00:00:00,1,170,1085,103,47
2015-08-22 00:00:00,2,149.37637350548,410.517697241639,107.627402985638,39.4834889107517
2015-08-22 01:00:00,2,154.598977530025,516.333109313085,102.134887631261,35.3392407061267
2015-08-22 02:00:00,2,153.47112275769,464.681679720095,105.005250337253,39.0884562693047
2015-08-22 03:00:00,2,189.766663383655,437.041730748039,98.0880500687033,37.9561048089483
2015-08-22 04:00:00,2,180.493822239379,469.043459432418,98.8404982651684,36.1395582367834
2015-08-22 05:00:00,2,182.293291429172,432.062309167542,103.41137761454,37.1656659479182
2015-08-22 06:00:00,2,143.17128150369,473.692927081355,106.964255533637,40.9513211256701
2015-08-22 07:00:00,2,144.747460676409,398.087808379864,87.121770480319,35.336438813335
2015-08-22 08:00:00,2,155.547551514797,462.584469195531,108.509648076443,28.8371213386409
2015-08-22 09:00:00,2,174.931653983441,346.248784000841,79.0219229721249,44.227825969659
2015-08-22 10:00:00,2,179.095460711062,473.082033226455,111.216352873174,38.9320263416054
2015-08-22 11:00:00,2,156.748775330782,492.718939125536,109.9906076265,37.2308791144091
2015-08-22 12:00:00,2,179.398285339534,401.250200546523,99.9977611186837,45.6497595822746
2015-08-22 13:00:00,2,162.627824674769,415.871187513627,109.061800220421,39.7596881091489
2015-08-22 14:00:00,2,170.816082684742,411.555947024612,106.651667373542,42.0900204126038
2015-08-22 15:00:00,2,186.9272359022,493.837250244862,124.56461330132,47.1986940903717
2015-08-22 16:00:00,2,192.516650305481,393.582182675976,93.7327236044642,38.2856178070704
2015-08-22 17:00:00,2,193.660238633426,574.307650205574,112.182503612331,43.0347572634882
2015-08-22 18:00:00,2,187.315755236212,472.086088455947,101.111192210508,41.6734461091293
2015-08-22 19:00:00,2,179.382933168214,439.880389225666,111.486605559054,34.0793795426759
2015-08-22 20:00:00,2,138.484302316416,377.747740426877,100.688925864338,41.6616442849443
2015-08-22 21:00:00,2,167.543102912559,504.107271535886,107.142385905127,44.5066282173095
2015-08-22 22:00:00,2,161.091011107904,455.863853431293,80.0728692653939,44.1748453085462
2015-08-22 23:00:00,2,190.439921763596,425.370778235475,88.3732064395436,46.1299821704582
